,date,activity,count
0,2022-05-14,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,441
1,2022-05-15,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,425
2,2022-05-16,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,414
3,2022-05-17,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,290
4,2022-05-18,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,254
5,2022-05-19,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,208
6,2022-05-20,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,117
7,2022-05-21,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,9
8,2022-05-22,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,11
9,2022-05-23,activity=https://data.curiouslearning.org/xAPI/activities/assessment/ukranian/letter-sound,12
